date,delta_ret,delta_vol,loglik,success,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,rho_20,rho_21,rho_22,rho_23,rho_24,rho_25,rho_26,rho_27,rho_28,rho_29,rho_30
2019-11-29,1.2966699884199322e-11,0.9999999999870334,6940.030482265227,True,2.0,1.999999999965599,1.999999999967877,1.9856704770417781,2.0,2.0,2.0,2.0,1.1661695381297714,1.9999999999826816,1.9999999999672848,2.0,2.0,1.9999999999683282,2.0,1.9999999999714102,1.9999999999701892,2.0,1.999999999968052,1.9999999999697315,2.0,1.9999999999855422,1.9999999999658216,2.0,1.999999999967163,1.9999999999839038,1.9999999999666658,1.999999999970092,1.999999999980934,1.5424818351222822,1.999999999979237
2019-12-27,4.700108639796394e-13,0.99999999999953,6944.6844362974825,True,2.0,1.9999999999986993,1.9999999999994393,1.3468872007731931,2.0,2.0,2.0,1.9999999999995148,1.1279780933956447,1.9999999999987892,1.9999999999987408,2.0,2.0,1.9999999999987255,2.0,1.9999999999988738,1.9999999999993519,2.0,1.9999999999988032,1.9999999999988147,2.0,1.9999999999993479,1.9999999999986882,2.0,1.9999999999987776,1.9999999999999123,1.999999999999143,1.9999999999988303,1.9999999999989062,2.0,1.9999999999992646
2020-01-24,1.6669550801783984e-12,0.999999999998333,6935.5398387219275,True,2.0,1.9999999999959543,1.9999999999995064,1.9155429327272757,2.0,2.0,2.0,1.9999999999984315,1.546224045236672,1.9999999999978297,1.999999999995721,2.0,2.0,1.9999999999957632,2.0,1.9999999999962026,1.9999999999993632,2.0,1.9999999999960696,1.9999999999961298,2.0,2.0,1.9999999999962552,2.0,1.999999999996073,2.0,1.9999999999963436,1.999999999996254,1.9999999999963258,2.0,1.9999999999977256
2020-02-28,0.5521304922398343,0.44786950776016565,6823.599615453579,True,2.0,2.0,2.0,0.8766639519834148,2.0,2.0,1.9861373466305732,1.999999999981718,1.9999999999971882,2.0,2.0,2.0,1.9999999999618887,2.0,1.9999999999809956,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999999834444,2.0
2020-03-27,0.4711988696897958,0.5288011303102041,6812.136184831912,True,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8114810174515306,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.7094731107380303,2.0,2.0,2.0,2.0,2.0
2020-04-24,0.4318127992815988,0.5681872007184011,6886.77990991761,True,2.0,2.0,2.0,2.0,2.0,2.0,1.8169574453183674,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999999963833,2.0,1.5931190161620286,2.0,2.0,2.0,2.0,2.0
2020-05-22,0.3653958119890038,0.6346041880109963,6871.216226927102,True,2.0,2.0,2.0,1.7980440625290366,1.0479454724289654,2.0,1.7357456279115868,2.0,1.376303191793832,2.0,2.0,2.0,2.0,2.0,1.8434268811376264,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-19,0.2148257666915204,0.7851742333084797,6862.120952570247,True,1.999999999971652,1.63511674143752,1.9999999999733333,1.839949992552991,0.33633224408652146,1.99999999997162,1.0563806996043337,1.9999999999750666,0.6538652361809598,1.9999999999757079,1.9999999999712503,1.999999999973331,1.999999999977663,1.9999999999727591,1.220294485353675,1.9999999999712892,1.999999999986769,1.9999999999761797,1.7480925866335526,1.9999999999735893,1.9999999999765286,1.9999999999732239,1.9999999999815044,1.999999999987678,1.9672872841574909,1.9999999999895604,1.1320592798770026,1.9999999999747775,1.999999999974197,1.9999999999728093,1.9999999999841498
2020-07-17,2.385428706992244e-14,0.9999999999999761,6615.969854510139,True,0.0,0.2881392044724108,0.0,0.0,0.0,0.0,0.6228256577223626,0.39376072813131596,0.0,0.8897498969655092,1.1515031094630042,1.3239855554652036,0.0,0.0,0.15211937761956426,1.2662270789107064,0.0,1.2566513055647672,2.0,0.0,0.0,1.6591430760751573,0.2719765876486775,0.0,1.9582113410190005,0.0,6.463174376088002e-14,0.33373314276202715,0.0,1.8617067903678128,0.0
2020-08-14,0.29905187985002235,0.7009481201499775,6673.176909124478,True,1.9999999999996156,1.9999999999999922,1.999999999998319,1.9999999999995395,1.9999999999997982,1.9999999999994953,1.9999999999997236,1.9999999999980012,1.5697394965721843,1.9999999999984623,1.999999999998125,1.9999999999976759,1.9999999999995963,1.999999999999459,1.9999999999995464,1.999999999997876,1.9999999999999685,1.9999999999997562,1.9999999999995781,1.9999999999980222,1.6810371427961,1.9999999999998723,1.9999999999996658,1.9999999999999256,1.9999999999981872,1.9999999999996314,1.999999999999862,1.7651137017334084,1.999999999998087,1.9999999999978073,1.999999999999566
